138,197
162,87
134,164
16,54
65,22
162,198
95,134
127,109
167,37
91,5
74,17
149,89
146,168
145,102
165,25
136,142
37,172
79,161
2,138
33,109
142,102
172,175
65,130
72,149
139,152
3,30
60,35
81,183
196,3
5,82
135,142
8,91
23,116
175,125
146,9
164,53
44,124
26,136
84,118
197,16
181,75
158,27
188,16
17,122
185,120
174,52
159,136
138,100
113,86
64,117
75,91
54,164
4,164
193,126
128,172
23,160
9,179
184,187
132,48
118,94
155,168
14,180
108,78
160,71
148,62
83,159
90,52
0,129
50,127
57,35
158,134
182,69
175,73
11,73
110,131
30,24
24,192
199,60
175,30
110,116
73,125
43,82
154,78
171,85
153,132
89,9
58,92
105,139
34,117
80,56
91,166
131,30
46,42
0,40
26,123
168,163
131,133
142,198
117,183
106,37
